Job Title,Company,Industry/Domain,Location,Required Skills,Years of Experience Required,Job Description,Company Details,URL
Agentic AI Engineer,Fervo Energy,Geothermal / Clean Energy (Data & AI team),"Houston, TX 77002 (910 Louisiana Street) - Hybrid; regular in-office presence required at Houston or Golden, CO office","Python (async, FastAPI); agent frameworks (LangChain/LangGraph, LlamaIndex, AutoGen, or Semantic Kernel); LLM APIs/SDKs (Anthropic Claude, OpenAI, Azure OpenAI) with tool use/function calling, structured outputs, streaming, prompt engineering; RAG with vector databases (Azure AI Search, pgvector, Pinecone, Weaviate, Chroma); agent orchestration (multi-step planning, tool routing, state management); Model Context Protocol (MCP); Azure deployment (App Service, Container Apps, Functions, Key Vault, Entra ID); Git and CI/CD; Docker; Terraform; observability/tracing/logging. Preferred: semantic layers (Snowflake Semantic Views, Databricks Metric Views, dbt, Cube, Power BI), knowledge graphs (Neo4j, Cosmos DB Gremlin, RDF/SPARQL), LangSmith, Databricks/Snowflake/ADLS/ADF, oil & gas / energy domain, time-series & industrial IoT (MQTT, OPC UA, SparkplugB), multimodal models.",2+ years,"Fervo Energy's Data & AI team is hiring an Agentic AI Engineer to design and ship agentic workflows that turn unstructured knowledge and structured operational data into autonomous capabilities for engineers, operators, and field decision-makers across drilling, completions, production, geophysics, and power plant operations.

Responsibilities:
- Design and deploy end-to-end agentic AI workflows using planner-worker, orchestrator-executor, multi-agent, and RAG-based architectures.
- Build reusable components and reference patterns for tool routing, state management, error handling, and human-in-the-loop checkpoints.
- Implement robust retrieval pipelines (hybrid search, vector + keyword, graph-aware retrieval) over technical documents, historian data, and operational records.
- Build and maintain a semantic layer over the data lake/warehouse using Snowflake Semantic Views and Databricks Unity Catalog Metric Views.
- Develop knowledge graphs connecting domain entities (wells, pads, assets, equipment, events, documents) to ground LLM reasoning.
- Standardize agent access to enterprise data via Model Context Protocol (MCP) servers.
- Establish agent evaluation frameworks (golden datasets, regression tests, structured evals for accuracy, faithfulness, tool-use correctness) and implement tracing, logging, and cost monitoring.
- Deploy agents as production services on an Azure-native stack (App Service, Container Apps, Functions) with Entra ID SSO and Key Vault-managed secrets; build lightweight UIs (Streamlit, Gradio, or React).

Qualifications:
- Bachelor's or Master's in Computer Engineering or Data Science preferred.
- 2+ years hands-on experience building and deploying agentic AI / LLM-powered applications in production (not just prototypes).
- Strong Python (async, FastAPI, testable production code); experience with a major agent framework; RAG with vector DBs; agent orchestration; MCP familiarity; Azure (or AWS/GCP) deployment; Git/CI-CD; Docker; Terraform; strong observability and production-ops skills.
Pay: $103,152 - $158,588/year, full-time. Benefits include medical, dental, vision, life, disability, flexible PTO, paid parental leave, incentive stock options, bonus program, and 401(k) match.","Fervo Energy is a next-generation geothermal company building cost-effective, repeatable geothermal power plants to scale clean, always-on energy. Headquartered in Houston, TX, with offices in Golden (CO), Reno (NV), Oakland (CA), and Salt Lake City (UT), Fervo pairs proven oil-and-gas drilling techniques with AI-native operational capabilities.",https://fervoenergy.com/career/agentic-ai-engineer/
Legal Technology & AI Specialist,"Herrman & Herrman, P.L.L.C.",Legal Services / Personal Injury Law (Legal Technology),"Houston, TX - In person; travel to other office locations as needed",Claude AI; ChatGPT; case management software administration (Filevine highly preferred); legal technology / enterprise software platforms; AI tools and workflow automation; Microsoft 365; Foundation AI; Power Automate; APIs and low-code automation tools; strong analytical and problem-solving skills; user training and software rollout management; ability to communicate technical concepts to non-technical users; project management (a plus).,Not specified (experience administering case management and legal tech platforms required; years not stated),"Herrman & Herrman, one of Texas' leading personal injury law firms, is hiring a Legal Technology & AI Specialist to transform how the firm practices law through technology, automation, and AI. The role suits someone who enjoys building solutions, streamlining workflows, implementing AI tools, and helping the organization maximize its technology investments.

What you'll do:
- Serve as the firm's subject matter expert for legal technology platforms.
- Administer and optimize Filevine, Foundation AI, Microsoft 365, and other legal software.
- Develop workflows, automations, templates, and dashboards, and identify opportunities to eliminate manual processes through automation and AI.
- Configure and improve case management systems; troubleshoot software issues and coordinate with technology vendors.
- Train attorneys and staff on new technology and best practices.
- Lead implementation of new software, integrations, and AI initiatives.
- Analyze workflows and recommend process improvements; create reports and performance metrics for leadership.
- Test new software features before firm-wide deployment and provide technical support for legal operations.

Qualifications: hands-on experience with Claude AI and ChatGPT; experience administering case management software (Filevine highly preferred); familiarity with legal technology or enterprise software; strong understanding of AI tools and workflow automation; excellent analytical and problem-solving skills; experience training users and managing software rollouts; ability to explain technical concepts to non-technical users; project management a plus; knowledge of Microsoft 365, Power Automate, APIs, or low-code tools preferred; law firm/legal environment experience highly desirable.

Pay: \$36.06 - \$45.67 per hour, in person. Benefits: 401(k), health, dental, vision, life insurance, and paid time off/holidays.","Herrman & Herrman, P.L.L.C. is one of Texas' premier personal injury law firms, with a Houston office and additional locations across the state. The firm is investing in cutting-edge AI and legal technology to modernize its practice and improve operational efficiency.",https://www.indeed.com/m/viewjob?jk=a17f366046e37246
"Principal Software Engineer, Endpoint AI Security","HP, Inc.",Technology / Cybersecurity (Endpoint & AI Security),United States (work location varies; US-based role),"Software architecture; distributed systems; scalability & reliability; secure software design; deep Linux development (system services, networking, performance-sensitive apps, endpoint security); C++ (primary), plus Python, C#, Java, and/or JavaScript/TypeScript; cloud platforms (Azure and/or AWS); CI/CD; Docker; Kubernetes; DevOps/DevSecOps; endpoint security principles; authentication, authorization, encryption; threat modeling; secure coding; AI security concepts (prompt injection, adversarial attacks, model protection, secure AI integration); leadership & mentorship. Preferred: EDR/XDR/anti-malware/behavioral detection; integrating AI/ML or generative AI into production; Go, Rust, Django, .NET MAUI, React, Next.js, Vue; AI red-teaming and risk frameworks (NIST AI RMF, MITRE ATLAS, OWASP GenAI); TPM, Secure Boot, trusted execution environments, privacy-preserving telemetry.",10+ years,"HP is seeking a Principal Software Engineer to lead the design, development, and security of AI-enabled endpoint security solutions. This senior technical leadership role builds secure, scalable software while driving innovation in endpoint protection, security automation, behavioral detection, and AI-powered security capabilities. The ideal candidate combines deep software engineering expertise with strong security knowledge and a track record delivering complex products at scale.

Key responsibilities:
- Lead architecture, design, development, testing, and deployment of complex software products and endpoint security solutions.
- Drive development of AI-enabled security capabilities, including behavioral analytics, anomaly detection, automation, and security copilots.
- Ensure AI models, agents, prompts, data, and inference pipelines are secure, privacy-aware, resilient, and protected from misuse.
- Establish secure development practices, guardrails, monitoring, access controls, and validation processes for AI-powered features.
- Partner with Product Management, Security, Privacy, AI/ML, and Engineering teams to deliver secure, high-quality solutions.
- Define and lead AI security testing, including adversarial testing, prompt-injection testing, abuse-case testing, and security validation.
- Mentor engineers, conduct design and code reviews, and champion engineering excellence and DevSecOps best practices.
- Evaluate emerging technologies and drive innovation across endpoint security and AI initiatives.

Required qualifications: Bachelor's or Master's in Computer Science, Software Engineering, or related field; 10+ years of software engineering experience delivering complex products or platforms; strong expertise in software architecture, distributed systems, scalability, reliability, and secure design; deep Linux development experience; strong C++ skills plus Python/C#/Java/JS/TS; cloud (Azure and/or AWS), CI/CD, Docker, Kubernetes; endpoint security, authn/authz, encryption, threat modeling, secure coding; familiarity with AI security concepts; strong communication, leadership, problem-solving, and mentoring.

Pay: \$147,050 - \$230,850 USD annually, plus bonus and/or equity (US candidates only). Full-time. Benefits: health, dental, vision, short/long-term disability, EAP, FSA, life insurance, 4-12 weeks fully paid parental leave, 11 paid holidays, plus flexible paid vacation and sick leave.","HP, Inc. is a global technology company known for personal computing, printing, and increasingly for endpoint security and AI-enabled solutions. HP is an Equal Opportunity Employer investing in secure, AI-powered endpoint protection at enterprise scale.",https://apply.hp.com/careers/job/43199262?domain=hp
AI Developer (Senior / Lead / Principal Specialist),Energy Transfer,Energy / Oil & Gas (Enterprise AI team),"On-site, 5 days/week (specific office not stated in posting); occasional overnight travel to other company locations","Python and/or .NET (both a strong plus); Azure cloud services & architecture (or AWS/GCP with willingness to ramp on Azure); RAG pipeline development; AI agent building with Microsoft Copilot Studio, Semantic Kernel Agent Framework, or equivalent (LangGraph, AutoGen, CrewAI); at least two of - Azure AI Search / vector search (Pinecone, Weaviate, pgvector, Elasticsearch, Kendra/OpenSearch), vector databases, semantic search, agentic AI (multi-step reasoning, tool use, orchestration); SQL and large-scale data platforms (Databricks a plus); strong communication and critical thinking. Preferred: both Python & .NET; hands-on Copilot Studio and/or Semantic Kernel; Databricks; practical ML (training, evaluation, deployment); Azure AI Foundry / Azure OpenAI (or Bedrock, Vertex AI); MCP (Model Context Protocol); natural gas pipeline / energy industry experience.",Varies by level: Senior Specialist 5-8 years; Lead Specialist 8+ years; Principal Specialist 10+ years (plus Bachelor's degree or equivalent experience),"Energy Transfer is hiring a hands-on AI Developer for its multidisciplinary Enterprise AI team to build, ship, and iterate on real production AI solutions alongside AI engineers/developers and business analysts. The role is ideal for someone who owns work end-to-end - prototyping, building, deploying, and refining - and who thrives in a fast-paced environment; candidates from smaller-company or startup backgrounds who have worn multiple hats will feel at home.

Technical environment: Python, .NET, Azure, Databricks; AI stack includes Azure OpenAI, Azure AI Foundry, Azure AI Search, Microsoft Copilot Studio, Semantic Kernel, vector databases, RAG, semantic search, agentic AI, and MCP.

Essential duties:
- Design, develop, deploy, and maintain AI solutions using Python and/or .NET.
- Build AI agents using Microsoft Copilot Studio or the Semantic Kernel Agent Framework.
- Build and optimize cloud-native applications on Azure and work with large-scale data in Databricks.
- Partner with AI engineers/developers and business analysts to turn ideas and experiments into production systems.
- Apply critical thinking to evaluate model performance, troubleshoot complex issues, and improve system efficiency.
- Communicate clearly with technical and non-technical stakeholders; prototype quickly, test rigorously, and iterate often.

Requirements: Bachelor's degree or equivalent experience; production experience with Python or .NET; strong cloud knowledge (Azure preferred); hands-on RAG and AI agent experience; at least two of vector/semantic search, vector databases, semantic search, or agentic AI systems; comfort with SQL and large-scale data platforms; startup/smaller-company ownership background. On-site 5 days/week.","Energy Transfer is one of America's largest energy companies (recognized by Forbes as a best large employer), responsibly delivering the nation's energy across natural gas pipelines and related infrastructure. The 12,000+ employee organization offers industry-leading compensation, comprehensive benefits, 401(k) match with profit sharing, and strong community commitments.",https://energytransfer.referrals.selectminds.com/jobs/principal-ai-developer-17774
Senior Data Scientist (Energy Vertical),Tavant Technologies,Technology / Enterprise Software (Energy Vertical),In person (specific office/city not stated in posting),"Python or R; machine learning frameworks (TensorFlow, PyTorch, Scikit-learn); statistical analysis and data modeling; data visualization (Tableau, Power BI); big data technologies (Hadoop, Spark); SQL and querying large datasets; predictive modeling; strong problem-solving and critical thinking; excellent communication and collaboration. Preferred: cloud platforms (AWS, Azure, Google Cloud); enterprise software experience.",Not specified (Senior-level role; years not stated in posting),"Tavant Technologies is seeking a Senior Data Scientist for its Energy Vertical to leverage advanced analytical techniques and machine learning to derive actionable insights from complex datasets. The role focuses on developing predictive models, identifying trends, and collaborating cross-functionally to implement data-driven solutions that enhance the company's enterprise product offerings.

Key responsibilities:
- Develop and implement machine learning algorithms to solve complex business problems.
- Analyze large datasets to generate insights and inform decision-making.
- Collaborate with product managers and engineers to integrate data science solutions into enterprise products.
- Communicate findings and recommendations effectively to technical and non-technical stakeholders.
- Stay current with the latest advancements in data science and machine learning.

Skills and tools required: strong Python or R; ML frameworks (TensorFlow, PyTorch, Scikit-learn); solid statistical analysis and data modeling; data visualization (Tableau, Power BI); familiarity with big data tech (Hadoop, Spark); SQL for querying large datasets; strong problem-solving and communication skills.

Preferred qualifications: master's or Ph.D. in computer science, statistics, mathematics, or related field; tech-industry or enterprise-software experience; understanding of cloud computing platforms (AWS, Azure, Google Cloud).

Pay: \$115,335.94 - \$138,899.19 per year. Benefits: 401(k), dental insurance, employee assistance program, and parental leave. Work location: in person.","Tavant Technologies is a digital products and solutions company serving multiple industry verticals, including energy, with a focus on enterprise-level software products. The company applies data science, machine learning, and analytics to enhance its enterprise product offerings.",https://tavant.com/careers/sr-data-scientist-ref-job-code-sds-01-25/
"Lead AI Engineer (AI, Insights & Solutions)",Bain & Company,Management Consulting (AI / GenAI Solutions),"Multiple US locations - hybrid, minimum 3 days/week in person at a client site or Bain home office; travel required beyond home office, varying by project","Generative AI system design & deployment; multi-agent workflows; RAG (vector, hybrid, graph-based retrieval); fine-tuning and parameter-efficient tuning; embedding generation/optimization; reasoning, tool use, function calling, orchestration; agentic patterns (tool use, routing, memory management); prompt & context engineering; evaluation design (hallucination rate, factual consistency, precision/recall, latency, cost); APIs, microservices, CI/CD, cloud-native deployment, observability; GenAIOps (automated testing, regression evaluation, latency monitoring); guardrails, fallbacks, red-teaming, human-in-the-loop; ReAct, RLAIF; orchestration frameworks, vector/graph databases, model + API ecosystems; system design and production-grade deployment; Responsible AI principles. Plus: client-facing consulting / enterprise transformation experience.","3-5+ years (software engineering, ML engineering, or applied AI with hands-on building)","Bain's AI, Insights & Solutions (AIS) team designs and delivers AI-powered solutions that create measurable business impact, working in multidisciplinary teams alongside Bain consultants, product, design, architecture, engineering experts, and client stakeholders. As a Lead AI Engineer, you'll design, build, and ship generative AI systems and agentic solutions across the full development lifecycle - from experimentation and prototyping through production deployment. This is a hands-on individual-contributor role with growing technical influence and the opportunity to mentor junior team members.

What you'll do:
- Contribute to the design, development, and deployment of end-to-end generative AI systems, including multi-agent workflows and production-grade applications.
- Build and iterate on multi-component AI pipelines: RAG, fine-tuning and parameter-efficient tuning, embedding generation/optimization, and hybrid retrieval (vector, graph, keyword).
- Implement reasoning, tool use, function calling, and orchestration; build agentic systems with sound separation of concerns, memory architecture, and tool integration.
- Build and maintain APIs, microservices, CI/CD pipelines, and cloud-native deployments with attention to observability and reliability.
- Support GenAIOps processes for automated testing, regression evaluation, latency monitoring, and continual improvement.
- Balance performance, safety, Responsible AI, and cost; implement guardrails, fallbacks, red-teaming, and HITL workflows; partner with global ethics teams.
- Design evaluation frameworks covering hallucination/factual consistency, relevance and precision/recall, latency/throughput, and cost efficiency.
- Partner across product, engineering, data science, ethics, and infrastructure; share knowledge on RAG, agents, prompt engineering, and AI safety.

Qualifications: 3-5+ years in software/ML engineering or applied AI with hands-on building; demonstrated experience shipping GenAI systems end-to-end; strong prompt and context engineering; working knowledge of evaluation design and experimentation; experience with RAG, agentic patterns, ReAct/RLAIF and HITL feedback loops, orchestration frameworks, and vector/graph databases; strong system design and production deployment background; comfort in high-ambiguity, cross-functional environments; consulting/enterprise transformation experience a strong plus.

Compensation: full-time salary of \$203,500 (NYC, CA, WA, DC) or \$179,500 (IL, GA, MA, TX); market-competitive elsewhere. Plus annual discretionary bonus, 4.5% 401(k) company contribution (fully vested at start), 100% employer-paid medical/dental/vision premiums, generous PTO and parental leave, life and long-term disability insurance, and annual fitness reimbursements.","Bain & Company is a top global management consulting firm, consistently ranked among the world's best places to work (the top-ranked consulting firm on Glassdoor's Best Places to Work list, #1 a record seven times). Its AI, Insights & Solutions (AIS) practice builds AI-powered solutions for board-level and executive client priorities across growth, productivity, and resilience.",https://www.bain.com/careers/find-a-role/position/?jobid=105044
AI Engineer (Coro / Commercial Excellence),Bain & Company,Management Consulting (B2B Commercial Excellence - Coro SaaS/DaaS),"US-based, client-facing consulting role (specific office not stated; salary range listed for MA, NY, DC, GA, IL, TX, WA, CA)","Python; building APIs/services (REST/gRPC) and enterprise integrations; LLM-powered application development (latency, cost, reliability, security); advanced retrieval/search (hybrid retrieval, vector search, reranking); multiple data stores (vector, graph, relational/document/search); agentic patterns (context management, tool integration, orchestration, memory/state) with frameworks like LangGraph, OpenAI Agents SDK, Pydantic AI, or custom agent loops; MCP and reusable agent tools with schema validation (Pydantic); testing, code review, version control, CI/CD, performance profiling; cloud deployment (AWS, GCP, and/or Azure); Docker and Kubernetes; security/privacy/governance (authn/authz, PII handling, enterprise risk controls); ML end-to-end (feature engineering, training, validation, evaluation); classical ML and deep learning; PyTorch/TensorFlow and ML lifecycle tooling (experiment tracking, model registry, feature store); MLOps/GenAIOps; strong communication and stakeholder management. Preferred: MBA or technical PhD; consulting/professional-services or B2B analytics background; experience with major AI ecosystem partners.","3-5+ years of professional AI/ML engineering experience (or equivalent), with strong backend fundamentals","Bain is hiring an AI Engineer to join the Coro team and help build the next generation of Coro's products - software and data tools infused with AI and agentic capabilities - within Bain's B2B Commercial Excellence practice. Working across rapid POCs, MVPs, and scaled production deployments, you'll design and implement LLM-driven features and agentic workflows that use tools, data, and enterprise systems to execute multi-step tasks reliably and safely, turning heterogeneous client data into structured analytics that case teams rely on in live engagements. These capabilities power Coro's product suite, such as MoneyMap, and the repeatable analytics behind Bain's B2B go-to-market work (opportunity mapping, indirect channel growth, profitability analysis).

What you'll do:
- Design and develop GenAI applications (copilots, workflow automation, decision support) using modern LLM stacks, and implement agentic workflows with attention to reliability, safety, and clear failure modes.
- Build advanced search, retrieval, and knowledge pipelines across diverse data stores (hybrid search, vector stores, graph/knowledge graphs, traditional platforms) covering indexing, metadata, reranking, freshness, caching, access controls, and source attribution.
- Build robust agent capabilities: context engineering, memory and state management, orchestration, routing, and tool integration; integrate into enterprise environments (APIs, data systems, collaboration tools).
- Build ML solutions end-to-end (data prep, feature engineering, model selection, training, validation) and create reproducible training/evaluation pipelines with versioning and experiment tracking.
- Ship AI services through the full SDLC with MLOps/GenAIOps practices (CI/CD, reproducibility, model/prompt/agent versioning); build evaluation and observability (tracing, regression suites, automated scoring).
- Design for secure enterprise deployment (access controls, auditability, PII handling, responsible AI guardrails) and build reusable components and accelerators.
- Communicate with technical and non-technical stakeholders, lead working sessions, and support proposal shaping and scoping.

Qualifications: Bachelor's in CS/Engineering or equivalent; 3-5+ years AI/ML engineering; strong Python and backend fundamentals; hands-on LLM application, retrieval/search, and agentic pattern experience; cloud (AWS/GCP/Azure), Docker/Kubernetes; ML training/validation and deep learning frameworks; strong communication and client-facing skills.

Compensation: \$128,500-\$171,500 annualized (MA, NY, DC, GA, IL, TX, WA, CA; market-competitive elsewhere), plus annual discretionary bonus, 4.5% 401(k) company contribution, 100% employer-paid medical/dental/vision premiums, generous PTO and parental leave, life and long-term disability insurance, and annual fitness reimbursements.","Bain & Company is a top global management consulting firm, consistently ranked among the world's best places to work. Its B2B Commercial Excellence practice and Coro business unit deliver proprietary SaaS and DaaS tools - cloud software, capability assessments, and advanced analytics - that help B2B companies turn market opportunity into booked revenue.",https://www.bain.com/careers/find-a-role/position/?jobid=106501
"Senior Consultant, AI & Data",Deloitte,Consulting / Government & Public Services (AI & Data),"Houston, TX 77002 (1111 Bagby St Ste 4500); ~10% travel on average","Python; production-ready data pipelines, models, and application components; Google Cloud Platform AI/ML services and cloud security; end-to-end AI solution design (data preprocessing, feature engineering, cloud integration); natural language processing; computer vision; optical character recognition (OCR); Python data libraries (NumPy, Pandas, PyTorch, scikit-learn, TensorFlow); document processing, case summarization, workflow orchestration, and content-generation automation; ServiceNow integration; mentoring junior developers; model performance monitoring; strong communication and project/workstream leadership. Must be a U.S. citizen able to obtain and maintain a Secret-level security clearance.","5+ years in data engineering or AI development, plus 5+ years architecting and deploying data pipelines, AI agents, or ML models into production","Deloitte's Government & Public Services (GPS) practice is hiring a Senior Consultant, AI & Data to help deliver AI-enabled solutions for a mission-critical modernization effort - integrating ServiceNow with Google AI platforms to improve and automate the personnel records correction process for soldiers and veterans. You'll help design, build, and deploy application-level Google Cloud and AI services, support the transition from legacy systems to modern digital workflows, and guide junior developers while delivering secure, scalable, production-ready solutions.

Work you'll do:
- Design, develop, and deploy AI and automation capabilities supporting digital case intake, records processing, and case review workflows.
- Build and enhance solutions such as intelligent triage, document classification, duplicate case detection, electronic signature workflows, and automated data validation.
- Develop production-ready pipelines, models, and application components using Python and cloud-based services for secure, scalable delivery.
- Deliver AI capabilities such as OCR, computer vision, case summarization, workflow automation, and content generation for adjudication support.
- Mentor junior developers and engineers, contribute to solution design, and monitor model performance, quality, and accuracy across deployed capabilities.

Required qualifications: Bachelor's in Computer Science, Information Systems, Engineering, or related field; 5+ years in data engineering or AI development; 5+ years architecting and deploying data pipelines, AI agents, or ML models to production; experience designing end-to-end AI solutions; U.S. citizenship with ability to obtain/maintain a Secret clearance; ability to travel ~10%; legally authorized to work in the U.S. without sponsorship.

Preferred: advanced degree; Google Cloud Platform AI/ML and cloud security experience; NLP, computer vision, or OCR solutions; Python data engineering (NumPy, Pandas, PyTorch, scikit-learn, TensorFlow); automation for document processing, case summarization, workflow orchestration, or content generation.

Pay: \$110,700 - \$218,300 per year, full-time.","Deloitte is a leading global professional services firm. Its Government & Public Services (GPS) practice serves federal, state, and local government clients and public higher-education institutions, and its AI & Data offering designs, develops, and operates cutting-edge data and AI platforms, products, and services to help clients modernize and scale their mission capabilities.",https://apply.deloitte.com/en_US/careers/JobDetail/Senior-Consultant-AI-and-Data-Risk-Management/352114
Artificial Intelligence Engineer III,Insperity,Human Resources Solutions / HR Technology,Not stated in posting (Insperity has 90+ US locations; role notes flexibility - over 80% of Insperity jobs offer flexibility),"Python; APIs, testing, and system design; large-scale data platforms (Snowflake, Databricks, Amazon Redshift, Microsoft Synapse, or similar); machine learning and AI concepts, evaluation techniques, and failure modes; LLM-based system design/build/deployment on enterprise-grade platforms; AI orchestration frameworks (LangChain, LangGraph, LlamaIndex, Semantic Kernel, or similar); RAG platforms; agentic workflows; data pipelines, feature strategies, and evaluation datasets; production readiness (performance, reliability, cost, observability, failure handling); bias/hallucination/data-leakage risk mitigation; data quality across structured and unstructured data; technical tradeoff decision-making (accuracy, cost, risk, scalability); strong communication, leadership, and mentoring.","5+ years across software engineering, data science, ML engineering, or AI system development","Insperity is seeking an Artificial Intelligence Engineer III responsible for designing, delivering, and owning complex, production-grade AI systems that address ambiguous, high-impact business problems. The role applies advanced software, data science, machine learning, and LLM engineering expertise to build AI-powered applications, model-driven solutions, and intelligently automated workflows, operating with a high degree of autonomy on architectural and technical decisions while ensuring solutions are reliable, measurable, secure, and aligned with enterprise AI standards.

Responsibilities:
- Design and own end-to-end AI solutions, including LLM-based applications, classical ML models, and hybrid approaches.
- Build and operate complex AI systems such as agentic workflows, RAG platforms, and decision-support solutions.
- Evaluate ambiguous business problems and determine appropriate AI patterns, modeling techniques, and system architectures.
- Define and implement evaluation strategies, metrics, and feedback loops to measure model effectiveness and business impact.
- Lead development of data pipelines, feature strategies, and evaluation datasets required to support AI systems.
- Own production readiness, including performance, reliability, cost, observability, and failure handling.
- Identify and mitigate risks related to bias, hallucination, data leakage, and unintended AI behavior.
- Collaborate cross-functionally with product management, platform teams, and stakeholders; mentor and provide technical guidance to team members.
- Contribute to the establishment and evolution of AI engineering standards, patterns, and best practices.

Qualifications: Bachelor's in Computer Science, Software Engineering, Data Science, or related field (or equivalent experience); 5+ years across software engineering, data science, ML engineering, or AI system development; advanced Python and system design; advanced proficiency with a large-scale data platform; strong applied ML/AI knowledge; hands-on LLM system experience; experience with AI orchestration frameworks; deep understanding of data quality and model behavior; production deployment/monitoring experience; ability to make and defend technical tradeoff decisions; strong communication and leadership.

Benefits: generous paid time off, top-tier medical/dental/vision, health & wellness support, paid volunteer hours, continuous learning and mentorship, and workplace flexibility.","Insperity provides a comprehensive, scalable suite of HR solutions blending premium HR service with technology, serving thousands of businesses from 90+ U.S. locations. It is repeatedly recognized as a top place to work by organizations such as Glassdoor and U.S. News & World Report.",https://careers.insperity.com/jobs/artificial-intelligence-engineer-iii/
Applied AI Architect (GTM),Braze,Software / Customer Engagement Platform (SaaS) - Applied AI for GTM,"United States - Hybrid (#LI-Hybrid); Braze is HQ'd in New York with offices in Austin, Chicago, San Francisco, and globally (specific office not stated)","GTM / revenue-lifecycle judgment (Solutions Consulting, Solutions Architecture, Account Executive, Sales Leadership, GTM strategy); hands-on building of AI-powered tools, agents, automations, and workflows; technical fluency in integration architecture, prompt design, retrieval logic, and data workflows (Python, APIs, integrations); system-level evaluation of agent outputs; enterprise sales workflow knowledge (deal stages, buying committees, AE/SC/BDR/CS personas); executive-level customer engagement and field credibility; taking solutions from problem identification through field adoption; highly autonomous senior IC. Preferred: Product Management background; enterprise SaaS Solutions Consulting/Engineering; AI development tools (Claude, Claude Code, Cursor, custom agent frameworks, workflow automation); enterprise SaaS stacks (Salesforce, Gong, Slack, Snowflake); building/scaling internal tools; analytical evaluation of deal data.","6+ years in a GTM role with direct involvement in the commercial motion (Solutions Consulting/Architecture, AE, Sales Leader, GTM strategy, or comparable at a B2B SaaS company)","Braze is building an Applied AI function for its GTM organization to pioneer how modern revenue teams operate with AI at a scaled global SaaS company. As an Applied AI Architect, you'll own a defined surface area across the revenue lifecycle and use AI to transform how Braze executes within it, operating simultaneously as practitioner (whose field judgment the agents are modeled after), builder (designing and refining agents on shared infrastructure), and observer (determining whether outputs actually change how GTM teams engage). Success is measured by practitioner adoption, improved behavior at critical moments, and measurable revenue and customer impact.

What you'll do:
- Conduct stakeholder research across the GTM motion (pre-sales through post-sales) to map intelligence gaps, workflow friction, and handoff failures, translating findings into a prioritized backlog with problem statements, impact/feasibility scoring, dependencies, and stakeholders.
- Build and refine AI agents tailored to your area of the revenue lifecycle, contributing to system architecture, retrieval logic, and output calibration on shared infrastructure; ship working solutions against real workflows.
- Stay embedded in regional operating rhythms (pipeline reviews, deal cycles, QBRs, renewal planning, account strategy); field proximity is the operating discipline.
- Own the reliability and quality of the systems you manage - monitor adoption, diagnose output failures, and tune/iterate continuously (you operate what you ship).
- Contribute to the shared knowledge hub by validating field signals and structuring deal/customer patterns; recognize patterns and scale reusable infrastructure across adjacent situations.
- Partner with Growth Engineering, PMM, Solutions Consulting, Pricing, Customer Success, and leadership; help shape what the function becomes.

Minimum requirements: 6+ years in a GTM role with commercial-motion involvement; hands-on experience building AI-powered tools/agents/automations that transformed real work; technical fluency (Python, APIs, integrations) to engage on architecture and evaluate outputs; strong enterprise sales workflow understanding; field credibility with executive-level engagement; a track record of driving solutions to field adoption; comfort across multiple workstreams; highly autonomous senior IC.

Compensation: base \$111,000-\$166,000/year with OTE \$131,000-\$195,000/year (including bonus/commission), plus RSU equity grants and a comprehensive Total Rewards package (medical, dental, vision, life, disability, retirement and ESPP, flexible PTO, fertility and equal paid parental leave, learning stipend).","Braze is the leading customer engagement platform, empowering brands to deliver AI-powered, 1:1 personalized customer experiences via BrazeAI. Consistently recognized as a marketing-technology leader and a Great Place to Work, Braze is headquartered in New York with offices across the U.S. and globally (Austin, Chicago, San Francisco, London, Berlin, Singapore, Tokyo, and more).",https://www.linkedin.com/jobs/view/applied-ai-architect-gtm-at-braze-4436391027/
